,Date,Close
1616,2014-01-08,12.29
1617,2014-01-09,12.39
1618,2014-01-10,11.84
1619,2014-01-13,12.65
1620,2014-01-14,11.93
1621,2014-01-15,11.58
1622,2014-01-16,11.94
1623,2014-01-17,11.64
1624,2014-01-21,12.38
1625,2014-01-22,12.66
1626,2014-01-23,13.63
1627,2014-01-24,17.43
1628,2014-01-27,16.69
1629,2014-01-28,15.32
1630,2014-01-29,16.8
1631,2014-01-30,16.82
1632,2014-01-31,17.91
1633,2014-02-03,20.67
1634,2014-02-04,18.55
1635,2014-02-05,19.03
1636,2014-02-06,16.78
1637,2014-02-07,14.91
1638,2014-02-10,15.04
1639,2014-02-11,14.09
1640,2014-02-12,13.97
1641,2014-02-13,13.83
1642,2014-02-14,13.15
1643,2014-02-18,13.7
1644,2014-02-19,14.96
1645,2014-02-20,14.4
1646,2014-02-21,14.2
1647,2014-02-24,13.81
1648,2014-02-25,13.41
1649,2014-02-26,13.7
1650,2014-02-27,13.27
1651,2014-02-28,13.22
1652,2014-03-03,15.19
1653,2014-03-04,13.55
1654,2014-03-05,13.44
1655,2014-03-06,13.46
1656,2014-03-07,13.37
1657,2014-03-10,13.65
1658,2014-03-11,14.03
1659,2014-03-12,13.83
1660,2014-03-13,15.54
1661,2014-03-14,16.76
1662,2014-03-17,14.81
1663,2014-03-18,14.06
1664,2014-03-19,14.5
1665,2014-03-20,13.96
1666,2014-03-21,14.29
1667,2014-03-24,14.13
1668,2014-03-25,13.57
1669,2014-03-26,14.27
1670,2014-03-27,13.72
1671,2014-03-28,13.55
1672,2014-03-31,13.16
1673,2014-04-01,12.44
1674,2014-04-02,12.51
1675,2014-04-03,12.73
1676,2014-04-04,13.12
1677,2014-04-07,14.51
1678,2014-04-08,14.07
1679,2014-04-09,12.87
1680,2014-04-10,14.64
1681,2014-04-11,15.51
1682,2014-04-14,14.67
1683,2014-04-15,14.13
1684,2014-04-16,12.83
1685,2014-04-17,12.42
1686,2014-04-21,12.59
1687,2014-04-22,12.39
1688,2014-04-23,12.36
1689,2014-04-24,12.4
1690,2014-04-25,13.07
1691,2014-04-28,12.9
1692,2014-04-29,12.76
1693,2014-04-30,12.52
1694,2014-05-01,12.47
1695,2014-05-02,12.29
1696,2014-05-05,12.55
1697,2014-05-06,13.01
1698,2014-05-07,12.63
1699,2014-05-08,12.56
1700,2014-05-09,12.12
1701,2014-05-12,11.43
1702,2014-05-13,11.4
1703,2014-05-14,11.54
1704,2014-05-15,12.08
1705,2014-05-16,11.39
1706,2014-05-19,11.53
1707,2014-05-20,12.17
1708,2014-05-21,11.15
1709,2014-05-22,11.19
1710,2014-05-23,10.47
